Sitio,Fecha,Profundidad,Transecto,Abudefduf saxatilis,Abudefduf taurus,Acanthostracion quadricornis,Acanthurus tractus,Acanthurus chirurgus,Acanthurus coeruleus,Aluterus scriptus,Anisotremus surinamensis,Anisotremus virginicus,Apogon binotatus,Apogon maculatus,Archosargos probatocephalus,Aulostomus maculatus,Balistes capriscus,Bodianus pulchellus,Bodianus rufus,Calamus calamus,Calamus penna,Calamus pennatula,Cantherines pullus,Canthidermis sufflamen,Canthigaster rostrata,Caranx bartholomei,Caranx crysos,Caranx latus,Caranx lugubris,Caranx ruber,Centropyge argi,Cephalopholis cruentata,Chaetodipterus faber,Chaetodon capistratus,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Chromis cyanea,Chromis insolata,Chromis multilineata,Chromis scotti,Clepticus parrae,"CLUPEIDAE, ENGRAULIDAE",Coryphopterus glaucofraenum,Coryphopterus personatus/hyalinus,Diodon hystrix,Elacatinus jarocho,Elacatinus oceanops,Elacatinus redimiculus,Elagatis bipinnulata,Emblemariopsis sp.,Epinephelus adscensionis,Epinephelus guttatus,Equetus lanceolatus,Equetus punctatus,Gerres cinereus,Gymnothorax funebris,Gymnothorax miliaris,Gymnothorax moringa,Haemulon aurolineatum,Haemulon carbonarium,Haemulon chrysargyreum,Haemulon flavolineatum,Haemulon macrostomum,Haemulon plumieri,Halichoeres bivitattus,Halichoeres burekae,Halichoeres garnoti,Halichoeres radiatus,Hippocampus erectus,Holacanthus bermudensis,Holacanthus ciliaris,Holacanthus hibrido,Holacanthus tricolor,Holocentrus adscencionis,Holocentrus rufus,Hypleurochilus bermudensis,Hypoplectrus nigricans,Hypoplectrus puella,Hypoplectrus castroaguirrei,Haemulon vittata,Kyphosus sectatrix/incisor,Labrisomus nuchipinnis,Lactophrys bicaudalis,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus buccanella,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Malacacotenus triangulatus,Microspathodon chrysurus,Mulloidichtys martinicus,Mycteroperca bonaci,Mycteroperca interstitialis,Mycteroperca microlepis,Mycteroperca phenax,Mycteroperca tigris,Mycteroperca venenosa,Myrichthys breviceps,Myripristis jacobus,Neopomasentrus cyanomus,Nicholsina usta,Ocyurus chrysurus,Odontoscion dentex,Ogcocephalus radiatus,Ophichthus ophis,Ophioblennius macclurei,Parablenius marmoreus,Paranthias furcifer,Pareques acuminatus,Pareques umbrosus,Pempheris schomburgki,Platybelone argalus,Pterois volitans,Pomacanthus arcuatus,Pomacanthus paru,Pseudopeneus maculatus,Scarus guacamaia,Scarus iseri,Scarus taeniopterus,Scomberomorus cavalla,Scorpaenodes caribbaeus,Scarus vetula,Scorpaena plumieri,Selene vomer,Seriola rivoliana,Serranus subligarius,Serranus tigrinus,Sparisoma atomarium,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma rubripinae,Sparisoma viridae,Sphoeroides spengleri,Sphyraena borealis/picudilla,Sphyraena guachancho,Sphyrna barracuda,Stegastes adustus,Stegastes partitus ,Stegastes planifrons,Stegastes variabilis,Synodus intermedius,Synodus saurus,Thalassoma bifasciatum
Blanca,15-Feb-11,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2
Blanca,15-Feb-11,4,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,120,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Blanquilla,16-Feb-11,10,1,4,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,34,,,1,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,3,1,,,,,
Blanquilla,16-Feb-11,10,2,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,4,,,,,40,,,,,,,,,,,,,,,30,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,1,,,
Blanquilla,16-Feb-11,10,3,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,1,,,,,
Blanquilla,16-Feb-11,10,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,45,,,4,,,1,10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,
Blanquilla,16-Feb-11,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,50,1,,1,,,,,,,,,,,,17,,,,,,,15,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,8,3,2,1,,,
Blanquilla,16-Feb-11,4,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,,,
Blanquilla,16-Feb-11,4,2,,,,,,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,25,,,,,
Blanquilla,16-Feb-11,4,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,,,,,
Blanquilla,16-Feb-11,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
Blanquilla,16-Feb-11,4,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,1,,2
Enmedio,17-Feb-11,9,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,4,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,,,,,,,,,,,2,,,,,,,,,,2,2,,,
Enmedio,17-Feb-11,9,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,2,40,,,4,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,4,,4,,,
Enmedio,17-Feb-11,9,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,20,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,2,,1,,,
Enmedio,17-Feb-11,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,2,,,,90,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1,,,,,,8,8,8,,,
Enmedio,17-Feb-11,9,5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,80,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,7,6,,,
Enmedio,17-Feb-11,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,1,,,,,,,,,1,,,,,
Enmedio,17-Feb-11,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,15,8,,,,
Enmedio,17-Feb-11,4.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,16,7,,,,
Enmedio,17-Feb-11,4.5,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,28,,2,,,
Enmedio,17-Feb-11,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,2,1,,,1
Verde,18-Feb-11,10,1,,,,,9,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,10,,,,70,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,2,,,
Verde,18-Feb-11,10,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,40,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,5,,,,
Verde,18-Feb-11,10,3,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,70,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,
Verde,18-Feb-11,10,4,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,40,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,3,4,,,
Verde,18-Feb-11,10,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,100,4,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,14,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Verde,18-Feb-11,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,25,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,,3,,,,11
Verde,18-Feb-11,4,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,2,,,,
Verde,18-Feb-11,4,3,5,,,,2,,,12,1,,,,,,,2,,,,,,1,,,,,,,,,,1,,,,,,,,,,70,,,,,,,1,,,,,,,,,,,,3,,,40,,,,,,,,,,,,,,,,,1,,,,,6,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,13,9,8,,1,,3
Verde,18-Feb-11,4,4,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,6,50,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,11,6,12,,,,9
Verde,18-Feb-11,4,5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,40,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,9,,,,
Santiaguillo,21-Feb-11,15,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,
Santiaguillo,21-Feb-11,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,15,16,,,15,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,5,,,,10
Santiaguillo,21-Feb-11,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4,,,,,
Santiaguillo,21-Feb-11,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiaguillo,21-Feb-11,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiaguillo,21-Feb-11,5,1,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,2,,,,,,,2,,,1,,,,,19,18,,,,,11
Santiaguillo,21-Feb-11,5,2,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,12
Santiaguillo,21-Feb-11,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,1,,,,,2,8,,,,,8
Santiaguillo,21-Feb-11,5,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,11,,,,,,1
Santiaguillo,21-Feb-11,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
Ingenieros,24-Feb-11,2,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,16,,,,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,
Ingenieros,24-Feb-11,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,20,,,,,,
Ingenieros,24-Feb-11,2,3,10,,,,,,,200,1,,,,,,,,,,,,,,,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Ingenieros,24-Feb-11,2,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,10,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
Ingenieros,24-Feb-11,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
Sacrificios,24-Feb-11,7,1,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,21,20,,,2,,,,2,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,1,8,,,
Sacrificios,24-Feb-11,7,2,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,16,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,8,,,
Sacrificios,24-Feb-11,7,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,,,,,,,,17,20,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,8,,,
Sacrificios,24-Feb-11,7,4,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,4,17,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,3,,8,,,
Sacrificios,24-Feb-11,7,5,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,6,,,,14,60,,,,,,,2,1,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,5,5,5,7,,,
Sacrificios,24-Feb-11,4,1,25,,,,25,,,,1,,,,,,,3,,,,,,1,,,,,,,,,2,,,,,,,,,,16,,,,,,,,2,,,,,,,,,,,5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12,,10,,,2
Sacrificios,24-Feb-11,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,12,12,,10,,,
Sacrificios,24-Feb-11,4,3,,,,,21,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,40,5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,16,,,
Sacrificios,24-Feb-11,4,4,20,,,,10,,,,2,,,,,,,6,,,,,,,,6,,,,,,,2,1,,,,,,,,,15,10,1,,,,,,2,4,,,,,,,,,,40,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,7,,7,10,,,
Sacrificios,24-Feb-11,4,5,26,,,,8,,,,,,,,,,,5,,,,,,,,,,,,,,,2,1,,,,,,,,,20,30,,,,,,,4,,,,,,,,,,,50,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,10,16,20,14,,,
AnegadaAdentro,2-May-11,16,1,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,2,,,,,11,,,,820,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,,,,
AnegadaAdentro,2-May-11,16,2,,,,,1,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,6,15,13,,,,600,,,1,,,,,,,,,,,,2,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,2,,,,,
AnegadaAdentro,2-May-11,16,3,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,,,12,,26,,,,600,,,1,,,,,,,,,,,,3,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,
AnegadaAdentro,2-May-11,16,4,,,,,21,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,1,,,8,,13,,,,652,,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,2,,2
AnegadaAdentro,2-May-11,16,5,,,,,21,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,10,,,,900,,4,1,2,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,
AnegadaAdentro,2-May-11,4,1,21,,,,3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,5
AnegadaAdentro,2-May-11,4,2,80,,,,9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,16,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,11,,,,,,8
AnegadaAdentro,2-May-11,4,3,151,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,31,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,10,,,,,,16
AnegadaAdentro,2-May-11,4,4,50,,,,4,2,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,4,,,,,,
AnegadaAdentro,2-May-11,4,5,40,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,12,,,,,,4
Blanquilla,5-May-11,10,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,135,,,1,,,,,,,,,,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Blanquilla,5-May-11,10,2,,,,,1,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,7,,,,140,,,4,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,
Blanquilla,5-May-11,10,3,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,1,,,,130,,,,,,,,,,,,,,,18,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,
Blanquilla,5-May-11,10,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,40,,,1,,,,,,,,,,,,26,,,,,,,24,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,3,,1,,,
Blanquilla,5-May-11,10,5,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,2,,,,130,,,1,,,,,,,,,,,,15,,,1,,,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,1,5,,,,,
